name,original_link,archive_link,release_date
BDPE Episode 01,http://blakebuck.com/media/BDPE-Episode1.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode1.mp3,2018-05-22
BDPE Episode 02,http://blakebuck.com/media/BDPE-Episode2.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode2.mp3,2018-05-22
BDPE Episode 03,http://blakebuck.com/media/BDPE-Episode3.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode3.mp3,2018-05-22
BDPE Episode 04,http://blakebuck.com/media/BDPE-Episode4.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode4.mp3,2018-05-22
BDPE Episode 05,http://blakebuck.com/media/BDPE-Episode5.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode5.mp3,2018-05-22
BDPE Episode 06,http://blakebuck.com/media/BDPE-Episode6.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode6.mp3,2018-05-22
BDPE Episode 07,http://blakebuck.com/media/BDPE-Episode7.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode7.mp3,2018-05-22
BDPE Episode 08,http://blakebuck.com/media/BDPE-Episode8.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode8.mp3,2018-05-22
BDPE Episode 09,http://blakebuck.com/media/BDPE-Episode9.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode9.mp3,2018-05-22
BDPE Episode 10,http://blakebuck.com/media/BDPE-Episode10.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode10.mp3,2018-05-22
BDPE Episode 11,http://blakebuck.com/media/BDPE-Episode11.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode11.mp3,2018-05-22
BDPE Episode 12,http://blakebuck.com/media/BDPE-Episode12.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode12.mp3,2018-05-22
BDPE Episode 13,http://blakebuck.com/media/BDPE-Episode13.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode13.mp3,2018-05-22
BDPE Episode 14,http://blakebuck.com/media/BDPE-Episode14.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode14.mp3,2018-05-22
BDPE Episode 15,http://blakebuck.com/media/BDPE-Episode15.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode15.mp3,2018-05-22
BDPE Episode 16,http://blakebuck.com/media/BDPE-Episode16.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode16.mp3,2018-05-22
BDPE Episode 17,http://blakebuck.com/media/BDPE-Episode17.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode17.mp3,2018-05-22
BDPE Episode 18,http://blakebuck.com/media/BDPE-Episode18.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode18.mp3,2018-05-22
BDPE Episode 19,http://blakebuck.com/media/BDPE-Episode19.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode19.mp3,2018-05-22
BDPE Episode 20,http://blakebuck.com/media/BDPE-Episode20.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode20.mp3,2018-05-22
BDPE Episode 21,http://blakebuck.com/media/BDPE-Episode21.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode21.mp3,2018-05-22
BDPE Episode 22,http://blakebuck.com/media/BDPE-Episode22.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode22.mp3,2018-05-22
BDPE Episode 23,http://blakebuck.com/media/BDPE-Episode23.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode23.mp3,2018-05-22
BDPE Episode 24,http://blakebuck.com/media/BDPE-Episode24.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode24.mp3,2018-05-22
